content,label
"Warning. You're dealing with a liar, a jerk and an imposter.  

Warning. If you deal with Orangemarlin and his aliases, you're dealing with a liar, a jerk and an imposter.",1
@ okay king of the Wikipedia Nazis.,0
"please 

come with me cause i like eat dicks with other girls",0
"What a bunch of BS, banned for stating the truth about global warming. Personal attacks my ass. I'll be back to edit again tomorrow, this is an issue of TRUTH.",0
This is bull**** this is Y2K all over again!!!!!! this is all **** just to make little kids scared. If I ever meet the guy who brought this whole topic to the world I'll kick his teath in and shove his ****'n fact up his *** so he should shut the **** up and get his fact straight before scaring kids! **** OFF! and **** YOU!!!!!!!!!!!!!!!!!,0
"YOU EAT CATS GUTS? 

THAT IS FUC*IN GROSS",1
Congrats for being a total fucking faggot.,1
"fuck you. Are you happy that Jews like Madoff bankrupted your country?  Actually it is not a real country, just a 800lb pitbull for Israel.

Fuck you, you stupid American.  Go fight and die in a war for the Jews.  How many American Jews are serving in Iraq and Afghanistan, oh ya zero, they let you stupid goys die for them.

Fuck you, you retard. 

Go eat a bowl of jewish lies, you stupid fuck. Your life is poitnless.",1
"who are you 

to decide whether an edit i made is constructive or not? free free to lick my asshole, douchebag.",1
"I'm sorry you were born a yank, that isn't my fault but I hear Suicide is a sure fire cure ) please try it and get back to me 94.172.127.37",0
"101 caps? 

he hasn't actually achieved 101 caps yet you idiots, he plays his 101st game against trinidad and tobago in case you didn't know that game hasn't been played yet. He hasn't achieved the cap, there is a possibility he won't get it, for all you know he could get food poisoning or break a leg on the way to the game. change that immediately! 86.156.170.254",0
"Niggas in da hood! Badman, bo selecta! WOOF!",0
"Um, it wasn't a template. They were just images (as I have on my user page). You did NOT explain WHY you repeatedly deleted them from vote pages and, instead, just did it over and over again. 3RR, eh? Oh, I guess it doesn't apply to oppressorser, wiktatorser, admins, eh? Hypocracy! -",0
"WHAT A DISGRACE !!!! 

Aren't you ashamed of creating such worthless names and even worse is they dont contain minimum words and it is also an article.. What worth does vvd oil , Aachi masala and many  two sentence politicians contain?? So you ve become an example in leading persons provoking in creation and  inclusion of all country brutes and rookies....",0
"You better fuck off 

Ruddy Shit fuck!",1
I would like to know how to suck a C O ( K,0
"fuck you 

Wanker",1
I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE I DONT CARE,0
FIRST OF ALL I WROTE THIS AND I DONT WANT IT ON THE PAGE AND BEFORE YOU CALL SOMEONE BLOODY-MINDED YOU SHOULD GO FUCK YOURSELF AND REVISE YOUR OWN IGNORANCE YOU FUCKING LOW LIFE SCUM BAG!!,1
Handzar divison was the division for the WWII. So don't put crap in the article.,0
And your a PRICK TO EMPOWER ASSHOLES LIKE PROPOL,0
"Hey it's not my fault he's the Eric Cartman of RSPW & Wikipedia. He hates the Jews, so he can't be the Kyle of RSPW/Wiki. He's too stupid and paranoid to be the Stan, and he looks horrible in an orange jumper, so he can't be the Kenny (though there are some who wish for his death on a weekly basis).",1
